ID da viagem,Data,Hora,Linha de ônibus,Número de passageiros,Tipo de veículo,Localização de partida,Localização de chegada,Tempo de viagem,Custo da viagem
29,2023-07-01,18:00,Linha 303,32,Elétrico,Zona Oeste,Centro,37,6.85
30,2023-08-25,23:02,Linha 505,17,Micro-ônibus,Centro,Zona Oeste,38,6.9
31,2023-11-07,20:13,Linha 101,99,Articulado,Centro,Zona Sul,89,8.95
32,2023-10-28,15:58,Linha 404,50,Elétrico,Zona Sul,Zona Leste,69,9.45
33,2023-03-22,04:44,Linha 505,34,Elétrico,Centro,Zona Oeste,65,8.25
34,2023-09-27,23:52,Linha 303,50,Articulado,Zona Oeste,Centro,36,7.8
35,2023-07-21,06:03,Linha 505,85,Articulado,Centro,Zona Oeste,43,7.15
36,2023-05-09,09:54,Linha 101,17,Elétrico,Zona Sul,Zona Norte,85,9.75
37,2023-12-03,13:08,Linha 404,23,Micro-ônibus,Zona Sul,Zona Leste,49,8.45
38,2023-08-23,13:56,Linha 505,100,Articulado,Zona Oeste,Zona Sul,53,7.35
39,2023-11-24,22:39,Linha 404,20,Elétrico,Zona Sul,Zona Leste,26,7.3
40,2023-02-26,22:59,Linha 202,26,Micro-ônibus,Zona Norte,Centro,33,7.25
41,2023-06-07,06:00,Linha 505,24,Elétrico,Zona Oeste,Zona Sul,63,7.45
42,2023-11-03,02:19,Linha 101,76,Articulado,Zona Sul,Zona Norte,64,8.7
43,2023-06-29,21:26,Linha 202,21,Ônibus convencional,Centro,Zona Leste,58,7.6
44,2023-05-02,11:10,Linha 505,48,Ônibus convencional,Zona Oeste,Zona Sul,36,6.9
45,2023-09-09,22:09,Linha 505,38,Ônibus convencional,Centro,Zona Oeste,14,5.7
46,2023-07-12,15:43,Linha 101,6,Micro-ônibus,Zona Sul,Zona Norte,30,7.0
47,2023-01-12,16:10,Linha 303,62,Ônibus convencional,Zona Norte,Zona Oeste,81,9.75
48,2023-01-09,12:49,Linha 202,21,Elétrico,Centro,Zona Leste,36,6.5
49,2023-07-12,22:45,Linha 404,24,Ônibus convencional,Zona Leste,Centro,14,4.7
50,2023-10-01,13:07,Linha 505,9,Micro-ônibus,Centro,Zona Oeste,69,8.45
51,2023-05-16,13:19,Linha 202,78,Articulado,Zona Norte,Centro,39,8.05
52,2023-12-14,08:05,Linha 505,260,Articulado,Zona Oeste,Zona Sul,64,8.6
53,2023-03-22,18:02,Linha 404,78,Ônibus convencional,Zona Sul,Zona Leste,34,7.7
54,2023-06-09,18:34,Linha 202,20,Micro-ônibus,Zona Norte,Centro,13,7.05
55,2023-09-12,08:14,Linha 404,74,Elétrico,Zona Leste,Centro,26,6.1
56,2023-05-07,11:46,Linha 101,28,Micro-ônibus,Zona Sul,Zona Norte,35,7.25
57,2023-10-05,05:04,Linha 404,6,Micro-ônibus,Zona Leste,Centro,50,8.2
58,2023-05-27,06:24,Linha 505,94,Articulado,Zona Oeste,Zona Sul,67,9.85
59,2023-02-14,17:08,Linha 202,72,Elétrico,Zona Norte,Centro,28,5.4
60,2023-07-05,04:48,Linha 202,35,Ônibus convencional,Zona Norte,Centro,41,6.15
61,2023-05-15,15:18,Linha 303,25,Ônibus convencional,Zona Oeste,Centro,79,8.05
62,2023-01-08,15:33,Linha 101,147,Articulado,Zona Sul,Zona Norte,87,9.85
63,2023-07-22,06:24,Linha 404,25,Micro-ônibus,Zona Sul,Zona Leste,14,6.7
64,2023-05-28,03:35,Linha 303,27,Ônibus convencional,Zona Norte,Zona Oeste,48,8.1
65,2023-12-02,13:29,Linha 505,20,Elétrico,Centro,Zona Oeste,66,8.3
66,2023-08-17,20:09,Linha 404,36,Elétrico,Zona Leste,Centro,63,8.75
67,2023-05-23,01:13,Linha 101,24,Elétrico,Centro,Zona Sul,63,7.65
68,2023-02-13,13:22,Linha 101,137,Articulado,Centro,Zona Sul,65,7.75
69,2023-06-18,20:38,Linha 404,59,Ônibus convencional,Zona Sul,Zona Leste,44,8.2
70,2023-05-03,12:09,Linha 303,112,Articulado,Zona Norte,Zona Oeste,64,8.9
71,2023-06-17,10:04,Linha 303,21,Micro-ônibus,Zona Oeste,Centro,76,9.8
72,2023-10-05,07:09,Linha 404,292,Articulado,Zona Leste,Centro,53,7.95
73,2023-07-16,18:31,Linha 101,100,Articulado,Zona Sul,Zona Norte,73,9.15
74,2023-10-18,17:20,Linha 202,200,Articulado,Centro,Zona Leste,80,8.7
75,2023-07-20,09:59,Linha 404,45,Elétrico,Zona Leste,Centro,55,8.75
76,2023-07-28,23:51,Linha 101,128,Articulado,Zona Sul,Zona Norte,23,6.65
77,2023-08-17,09:01,Linha 505,57,Ônibus convencional,Zona Oeste,Zona Sul,19,6.85
78,2023-11-16,18:53,Linha 101,136,Ônibus convencional,Centro,Zona Sul,39,6.45
79,2023-08-18,12:09,Linha 303,33,Elétrico,Zona Norte,Zona Oeste,52,8.3
80,2023-04-12,04:35,Linha 101,10,Micro-ônibus,Centro,Zona Sul,45,6.75
81,2023-12-15,21:20,Linha 101,123,Articulado,Zona Sul,Zona Norte,46,7.8
82,2023-07-05,05:43,Linha 202,20,Micro-ônibus,Zona Norte,Centro,48,8.4
83,2023-01-07,21:27,Linha 202,22,Ônibus convencional,Centro,Zona Leste,35,6.45
84,2023-11-16,14:41,Linha 202,48,Ônibus convencional,Centro,Zona Leste,53,7.35
85,2023-05-20,22:49,Linha 303,17,Elétrico,Zona Oeste,Centro,28,6.7
86,2023-11-22,13:25,Linha 404,47,Ônibus convencional,Zona Sul,Zona Leste,62,9.1
87,2023-07-08,13:11,Linha 303,17,Micro-ônibus,Zona Oeste,Centro,81,9.95
88,2023-05-06,13:14,Linha 505,43,Elétrico,Centro,Zona Oeste,14,5.7
89,2023-03-05,22:38,Linha 202,107,Articulado,Zona Norte,Centro,89,10.55
90,2023-05-12,21:45,Linha 505,47,Elétrico,Zona Oeste,Zona Sul,52,8.3
91,2023-04-23,17:54,Linha 202,62,Elétrico,Zona Norte,Centro,88,9.6
92,2023-09-08,08:00,Linha 505,66,Ônibus convencional,Zona Oeste,Zona Sul,69,7.55
93,2023-09-13,14:54,Linha 404,19,Micro-ônibus,Zona Sul,Zona Leste,59,8.95
94,2023-04-21,03:14,Linha 101,23,Elétrico,Centro,Zona Sul,42,6.6
95,2023-11-08,18:42,Linha 303,54,Micro-ônibus,Zona Norte,Zona Oeste,58,8.6
96,2023-06-27,13:49,Linha 505,70,Articulado,Zona Oeste,Zona Sul,63,8.75
97,2023-03-08,13:50,Linha 303,40,Ônibus convencional,Zona Oeste,Centro,12,5.7
98,2023-06-10,14:49,Linha 202,52,Ônibus convencional,Zona Norte,Centro,57,7.25
99,2023-12-19,00:36,Linha 505,100,Articulado,Centro,Zona Oeste,37,6.85
100,2023-08-24,23:14,Linha 101,17,Elétrico,Centro,Zona Sul,31,6.05
101,2023-05-03,21:52,Linha 202,122,Articulado,Centro,Zona Leste,19,5.65
102,2023-11-14,02:15,Linha 202,40,Ônibus convencional,Zona Norte,Centro,56,8.0
103,2023-03-11,12:13,Linha 101,139,Articulado,Zona Sul,Zona Norte,58,8.4
104,2023-11-28,04:12,Linha 303,6,Micro-ônibus,Zona Oeste,Centro,29,7.35
105,2023-12-26,10:15,Linha 404,50,Elétrico,Zona Leste,Centro,11,7.05
106,2023-06-14,17:22,Linha 505,62,Ônibus convencional,Zona Oeste,Zona Sul,82,10.2
107,2023-01-05,21:04,Linha 404,34,Elétrico,Zona Leste,Centro,70,9.0
108,2023-05-18,14:00,Linha 404,103,Articulado,Zona Leste,Centro,34,7.9
109,2023-10-06,22:52,Linha 505,94,Articulado,Zona Oeste,Zona Sul,40,8.2
110,2023-08-02,13:29,Linha 303,141,Articulado,Zona Norte,Zona Oeste,66,9.0
111,2023-04-08,11:30,Linha 303,148,Articulado,Zona Norte,Zona Oeste,48,8.1
112,2023-01-16,21:03,Linha 303,108,Articulado,Zona Norte,Zona Oeste,13,6.35
113,2023-06-16,09:27,Linha 101,54,Articulado,Zona Sul,Zona Norte,45,7.75
114,2023-12-07,06:41,Linha 202,50,Elétrico,Zona Norte,Centro,38,6.2
115,2023-03-18,13:14,Linha 202,144,Articulado,Zona Norte,Centro,45,6.65
116,2023-08-08,14:05,Linha 505,150,Articulado,Centro,Zona Oeste,25,6.25
117,2023-07-25,10:10,Linha 404,28,Elétrico,Zona Leste,Centro,66,8.3
118,2023-09-09,08:32,Linha 404,114,Ônibus convencional,Zona Sul,Zona Leste,36,7.8
119,2023-09-10,10:57,Linha 505,69,Ônibus convencional,Centro,Zona Oeste,86,9.3
120,2023-04-21,12:46,Linha 303,16,Micro-ônibus,Zona Norte,Zona Oeste,90,10.2
121,2023-09-05,17:39,Linha 202,66,Ônibus convencional,Centro,Zona Leste,19,5.65
122,2023-06-19,21:18,Linha 404,32,Ônibus convencional,Zona Sul,Zona Leste,84,10.2
123,2023-04-27,04:38,Linha 303,51,Ônibus convencional,Zona Oeste,Centro,21,6.65
124,2023-12-03,19:30,Linha 101,10,Micro-ônibus,Zona Sul,Zona Norte,59,8.45
125,2023-06-20,15:48,Linha 101,45,Ônibus convencional,Zona Sul,Zona Norte,29,6.95
126,2023-10-08,23:32,Linha 101,26,Ônibus convencional,Centro,Zona Sul,39,6.45
127,2023-01-17,20:22,Linha 303,27,Micro-ônibus,Zona Norte,Zona Oeste,89,10.15
128,2023-11-30,12:57,Linha 202,66,Articulado,Zona Norte,Centro,73,9.75
129,2023-10-04,12:33,Linha 404,42,Ônibus convencional,Zona Leste,Centro,46,8.7
130,2023-05-17,19:53,Linha 303,46,Ônibus convencional,Zona Oeste,Centro,51,6.95
131,2023-09-04,22:26,Linha 303,15,Micro-ônibus,Zona Norte,Zona Oeste,90,10.2
132,2023-11-01,03:39,Linha 202,128,Articulado,Centro,Zona Leste,42,6.8
133,2023-07-09,03:22,Linha 505,35,Elétrico,Zona Oeste,Zona Sul,63,7.75
134,2023-12-03,14:30,Linha 202,49,Elétrico,Zona Norte,Centro,13,7.15
135,2023-02-19,06:07,Linha 303,44,Ônibus convencional,Zona Oeste,Centro,55,9.15
136,2023-12-21,04:11,Linha 101,29,Micro-ônibus,Centro,Zona Sul,83,8.65
137,2023-08-24,14:36,Linha 505,41,Elétrico,Zona Oeste,Zona Sul,21,7.45
138,2023-07-06,00:33,Linha 505,76,Articulado,Centro,Zona Oeste,18,5.9
139,2023-08-13,07:01,Linha 303,28,Micro-ônibus,Zona Oeste,Centro,41,7.45
140,2023-08-29,16:38,Linha 404,21,Micro-ônibus,Zona Leste,Centro,80,8.6
141,2023-02-22,23:16,Linha 505,39,Elétrico,Centro,Zona Oeste,53,7.65
142,2023-10-25,11:09,Linha 101,54,Ônibus convencional,Zona Sul,Zona Norte,61,8.55
143,2023-10-21,19:54,Linha 202,15,Elétrico,Zona Norte,Centro,26,5.9
144,2023-08-12,22:57,Linha 505,138,Articulado,Centro,Zona Oeste,85,9.25
145,2023-07-10,14:31,Linha 303,114,Articulado,Zona Norte,Zona Oeste,45,7.95
146,2023-03-09,16:03,Linha 101,26,Micro-ônibus,Centro,Zona Sul,26,5.8
147,2023-10-21,22:05,Linha 101,41,Ônibus convencional,Zona Sul,Zona Norte,72,9.1
148,2023-04-13,06:39,Linha 404,11,Micro-ônibus,Zona Leste,Centro,62,8.9
149,2023-01-15,20:21,Linha 202,133,Articulado,Centro,Zona Leste,33,6.35
150,2023-07-23,09:04,Linha 404,23,Micro-ônibus,Zona Leste,Centro,85,9.25
151,2023-10-02,03:04,Linha 404,23,Micro-ônibus,Zona Leste,Centro,78,8.8
152,2023-11-14,15:05,Linha 202,35,Ônibus convencional,Zona Norte,Centro,40,7.1
153,2023-10-10,19:31,Linha 505,28,Ônibus convencional,Zona Oeste,Zona Sul,38,6.4
154,2023-04-29,03:24,Linha 101,19,Micro-ônibus,Centro,Zona Sul,61,7.55
155,2023-08-10,01:33,Linha 505,16,Micro-ônibus,Centro,Zona Oeste,52,7.6
156,2023-04-29,10:37,Linha 303,66,Ônibus convencional,Zona Oeste,Centro,86,10.3
157,2023-01-28,03:03,Linha 202,142,Articulado,Centro,Zona Leste,66,8.0
158,2023-02-11,03:01,Linha 404,56,Ônibus convencional,Zona Leste,Centro,19,7.15
159,2023-02-14,02:02,Linha 101,73,Articulado,Centro,Zona Sul,77,8.35
160,2023-01-08,00:45,Linha 404,31,Elétrico,Zona Sul,Zona Leste,81,10.05
161,2023-04-14,14:12,Linha 101,27,Ônibus convencional,Centro,Zona Sul,83,8.65
162,2023-09-27,21:21,Linha 303,122,Articulado,Zona Norte,Zona Oeste,67,9.05
163,2023-09-26,23:13,Linha 505,21,Ônibus convencional,Centro,Zona Oeste,16,5.8
164,2023-06-11,23:26,Linha 101,7,Micro-ônibus,Zona Sul,Zona Norte,88,9.9
165,2023-06-28,21:37,Linha 505,61,Ônibus convencional,Zona Oeste,Zona Sul,23,6.15
166,2023-11-14,11:57,Linha 505,40,Ônibus convencional,Centro,Zona Oeste,35,6.75
167,2023-04-11,19:05,Linha 505,16,Micro-ônibus,Zona Oeste,Zona Sul,57,6.85
168,2023-10-21,15:58,Linha 505,70,Ônibus convencional,Centro,Zona Oeste,70,8.5
169,2023-09-25,15:22,Linha 202,114,Articulado,Zona Norte,Centro,43,7.35
170,2023-04-23,12:19,Linha 303,31,Elétrico,Zona Norte,Zona Oeste,84,9.9
171,2023-11-09,03:25,Linha 505,18,Micro-ônibus,Zona Oeste,Zona Sul,20,6.7
172,2023-02-23,18:29,Linha 404,74,Elétrico,Zona Leste,Centro,39,7.25
173,2023-01-30,01:17,Linha 505,32,Elétrico,Centro,Zona Oeste,57,7.85
174,2023-01-18,19:58,Linha 404,44,Ônibus convencional,Zona Sul,Zona Leste,23,7.15
175,2023-07-13,21:59,Linha 404,37,Ônibus convencional,Zona Leste,Centro,46,7.4
176,2023-09-20,22:29,Linha 505,21,Ônibus convencional,Zona Oeste,Zona Sul,19,6.15
177,2023-08-11,11:16,Linha 404,133,Articulado,Zona Sul,Zona Leste,82,10.1
178,2023-09-15,04:28,Linha 202,25,Elétrico,Centro,Zona Leste,23,5.85
179,2023-11-20,20:47,Linha 505,21,Elétrico,Centro,Zona Oeste,22,6.1
180,2023-01-04,07:33,Linha 101,94,Ônibus convencional,Zona Sul,Zona Norte,81,9.55
181,2023-12-18,06:04,Linha 505,96,Articulado,Zona Oeste,Zona Sul,74,9.4
182,2023-02-10,21:55,Linha 505,87,Articulado,Zona Oeste,Zona Sul,54,7.5
183,2023-07-04,09:06,Linha 202,140,Articulado,Zona Norte,Centro,73,9.15
184,2023-06-17,21:11,Linha 101,10,Micro-ônibus,Centro,Zona Sul,57,7.35
185,2023-12-21,15:04,Linha 303,40,Ônibus convencional,Zona Norte,Zona Oeste,82,9.8
186,2023-08-11,15:22,Linha 101,60,Ônibus convencional,Centro,Zona Sul,85,8.75
187,2023-06-10,17:08,Linha 303,120,Articulado,Zona Oeste,Centro,89,9.45
188,2023-04-22,21:07,Linha 101,75,Articulado,Centro,Zona Sul,21,5.55
189,2023-07-17,15:48,Linha 101,35,Ônibus convencional,Centro,Zona Sul,48,6.9
190,2023-02-20,04:20,Linha 101,20,Micro-ônibus,Centro,Zona Sul,32,6.1
191,2023-07-20,07:47,Linha 404,234,Articulado,Zona Sul,Zona Leste,43,8.15
192,2023-10-19,00:32,Linha 101,24,Elétrico,Centro,Zona Sul,62,7.6
193,2023-12-25,00:13,Linha 202,78,Articulado,Centro,Zona Leste,90,9.2
194,2023-04-04,21:23,Linha 202,25,Elétrico,Centro,Zona Leste,19,5.65
195,2023-01-02,17:44,Linha 303,52,Micro-ônibus,Zona Norte,Zona Oeste,62,8.8
196,2023-10-24,00:36,Linha 505,125,Articulado,Centro,Zona Oeste,44,7.2
197,2023-01-08,21:45,Linha 202,22,Micro-ônibus,Centro,Zona Leste,52,7.3
198,2023-09-26,18:58,Linha 101,52,Micro-ônibus,Centro,Zona Sul,35,6.25
199,2023-03-13,04:36,Linha 303,80,Articulado,Zona Norte,Zona Oeste,75,9.45
200,2023-04-03,00:21,Linha 404,36,Elétrico,Zona Sul,Zona Leste,76,9.8
201,2023-05-06,06:52,Linha 101,25,Elétrico,Zona Sul,Zona Norte,43,7.65
202,2023-07-20,21:56,Linha 101,59,Ônibus convencional,Zona Sul,Zona Norte,84,9.7
203,2023-11-25,22:23,Linha 404,108,Articulado,Zona Leste,Centro,28,6.0
204,2023-01-10,03:39,Linha 505,61,Ônibus convencional,Centro,Zona Oeste,90,9.5
205,2023-10-20,09:16,Linha 202,36,Elétrico,Zona Norte,Centro,73,8.05
206,2023-01-13,12:20,Linha 202,12,Micro-ônibus,Zona Norte,Centro,88,9.2
207,2023-08-18,04:05,Linha 404,19,Micro-ônibus,Zona Leste,Centro,36,8.1
208,2023-02-20,20:38,Linha 303,101,Articulado,Zona Norte,Zona Oeste,29,7.15
209,2023-10-13,06:20,Linha 303,76,Articulado,Zona Norte,Zona Oeste,76,9.5
210,2023-12-18,01:49,Linha 303,78,Articulado,Zona Norte,Zona Oeste,83,9.85
211,2023-09-22,13:32,Linha 404,17,Elétrico,Zona Sul,Zona Leste,11,6.55
212,2023-08-09,21:10,Linha 505,61,Articulado,Zona Oeste,Zona Sul,65,9.55
213,2023-06-25,01:33,Linha 303,67,Ônibus convencional,Zona Norte,Zona Oeste,52,8.3
214,2023-03-14,13:48,Linha 303,65,Ônibus convencional,Zona Oeste,Centro,22,7.2
215,2023-04-12,07:23,Linha 303,86,Ônibus convencional,Zona Oeste,Centro,48,8.8
216,2023-03-04,14:19,Linha 404,21,Micro-ônibus,Zona Leste,Centro,32,6.8
217,2023-05-06,17:55,Linha 505,80,Ônibus convencional,Centro,Zona Oeste,84,9.2
218,2023-08-05,00:40,Linha 505,23,Micro-ônibus,Zona Oeste,Zona Sul,55,6.85
219,2023-10-31,20:32,Linha 303,126,Articulado,Zona Norte,Zona Oeste,90,10.2
220,2023-04-15,16:41,Linha 101,27,Elétrico,Centro,Zona Sul,40,6.5
221,2023-12-07,16:56,Linha 202,28,Micro-ônibus,Zona Norte,Centro,37,6.25
222,2023-12-15,03:11,Linha 202,13,Micro-ônibus,Zona Norte,Centro,16,6.0
223,2023-12-14,09:03,Linha 101,30,Ônibus convencional,Centro,Zona Sul,34,6.2
224,2023-12-17,19:32,Linha 505,25,Elétrico,Zona Oeste,Zona Sul,29,6.15
225,2023-05-27,01:37,Linha 505,29,Micro-ônibus,Centro,Zona Oeste,29,6.45
226,2023-01-05,01:26,Linha 202,18,Elétrico,Centro,Zona Leste,50,7.2
227,2023-09-12,06:23,Linha 505,17,Micro-ônibus,Centro,Zona Oeste,71,8.55
228,2023-01-20,11:46,Linha 101,51,Articulado,Zona Sul,Zona Norte,16,6.3
229,2023-12-21,14:51,Linha 505,13,Micro-ônibus,Zona Oeste,Zona Sul,15,6.45
230,2023-12-10,06:15,Linha 202,50,Elétrico,Centro,Zona Leste,41,6.75
231,2023-09-22,15:31,Linha 202,19,Elétrico,Zona Norte,Centro,52,7.5
232,2023-09-01,01:36,Linha 505,21,Elétrico,Zona Oeste,Zona Sul,74,8.2
233,2023-07-13,03:25,Linha 404,113,Articulado,Zona Leste,Centro,51,7.55
234,2023-09-09,07:25,Linha 202,118,Articulado,Centro,Zona Leste,90,9.2
235,2023-08-26,14:48,Linha 303,60,Ônibus convencional,Zona Oeste,Centro,48,6.8
236,2023-07-18,13:13,Linha 101,127,Articulado,Zona Sul,Zona Norte,41,7.55
237,2023-06-06,20:08,Linha 202,6,Micro-ônibus,Centro,Zona Leste,40,6.7
238,2023-09-13,11:35,Linha 505,57,Ônibus convencional,Zona Oeste,Zona Sul,12,4.7
239,2023-10-19,12:13,Linha 404,24,Elétrico,Zona Leste,Centro,26,7.8
240,2023-06-26,11:41,Linha 202,61,Ônibus convencional,Centro,Zona Leste,54,7.4
241,2023-02-18,15:51,Linha 505,63,Ônibus convencional,Centro,Zona Oeste,38,6.9
242,2023-03-10,04:31,Linha 404,67,Ônibus convencional,Zona Leste,Centro,69,8.05
243,2023-08-21,12:18,Linha 202,47,Ônibus convencional,Zona Norte,Centro,34,8.2
244,2023-04-19,12:51,Linha 101,77,Articulado,Centro,Zona Sul,23,5.65
245,2023-10-26,22:05,Linha 202,6,Micro-ônibus,Zona Norte,Centro,13,4.65
246,2023-12-27,12:14,Linha 303,28,Ônibus convencional,Zona Oeste,Centro,18,6.8
247,2023-10-09,08:28,Linha 303,206,Articulado,Zona Norte,Zona Oeste,51,8.25
248,2023-11-06,03:21,Linha 202,20,Ônibus convencional,Centro,Zona Leste,12,5.3
249,2023-02-23,18:47,Linha 303,44,Micro-ônibus,Zona Oeste,Centro,36,6.9
250,2023-11-25,04:00,Linha 101,23,Micro-ônibus,Zona Sul,Zona Norte,61,8.55
251,2023-01-24,15:43,Linha 404,69,Articulado,Zona Sul,Zona Leste,39,7.95
252,2023-10-02,21:18,Linha 505,135,Articulado,Zona Oeste,Zona Sul,88,9.8
253,2023-03-31,08:51,Linha 202,102,Articulado,Zona Norte,Centro,58,7.6
254,2023-10-20,03:50,Linha 202,18,Elétrico,Zona Norte,Centro,31,5.55
255,2023-11-29,18:28,Linha 505,72,Ônibus convencional,Centro,Zona Oeste,83,9.15
256,2023-04-09,17:35,Linha 101,116,Ônibus convencional,Centro,Zona Sul,58,7.4
257,2023-06-03,03:18,Linha 505,29,Micro-ônibus,Centro,Zona Oeste,34,6.7
258,2023-05-07,06:02,Linha 202,32,Ônibus convencional,Centro,Zona Leste,74,8.4
259,2023-04-10,21:58,Linha 505,46,Elétrico,Centro,Zona Oeste,87,9.35
260,2023-10-23,15:23,Linha 505,49,Elétrico,Centro,Zona Oeste,16,5.8
261,2023-03-14,09:00,Linha 303,28,Micro-ônibus,Zona Oeste,Centro,23,6.15
262,2023-07-27,19:17,Linha 101,26,Micro-ônibus,Zona Sul,Zona Norte,54,8.2
263,2023-08-27,23:22,Linha 404,88,Articulado,Zona Leste,Centro,59,8.45
264,2023-02-16,03:45,Linha 404,18,Elétrico,Zona Sul,Zona Leste,65,9.25
265,2023-10-21,20:44,Linha 101,71,Articulado,Centro,Zona Sul,20,5.5
266,2023-11-29,05:42,Linha 202,41,Ônibus convencional,Centro,Zona Leste,24,5.9
267,2023-12-10,11:13,Linha 202,50,Ônibus convencional,Centro,Zona Leste,52,7.3
268,2023-08-14,01:58,Linha 404,76,Articulado,Zona Leste,Centro,75,9.15
269,2023-07-20,17:04,Linha 202,98,Ônibus convencional,Centro,Zona Leste,79,8.65
270,2023-12-29,03:20,Linha 505,45,Ônibus convencional,Centro,Zona Oeste,36,6.8
271,2023-03-05,20:41,Linha 505,44,Ônibus convencional,Centro,Zona Oeste,15,5.75
272,2023-10-11,03:25,Linha 202,25,Elétrico,Zona Norte,Centro,73,8.55
273,2023-08-09,23:27,Linha 101,70,Ônibus convencional,Zona Sul,Zona Norte,30,7.0
274,2023-06-13,23:37,Linha 101,70,Articulado,Centro,Zona Sul,68,7.9
275,2023-01-29,02:06,Linha 303,37,Elétrico,Zona Norte,Zona Oeste,82,9.8
276,2023-01-27,22:34,Linha 303,34,Elétrico,Zona Norte,Zona Oeste,83,9.85
277,2023-11-19,22:07,Linha 505,122,Articulado,Centro,Zona Oeste,17,5.85
278,2023-06-10,23:36,Linha 404,127,Articulado,Zona Leste,Centro,62,8.6
279,2023-11-05,14:10,Linha 505,130,Articulado,Zona Oeste,Zona Sul,64,7.5
280,2023-10-10,08:49,Linha 101,58,Micro-ônibus,Zona Sul,Zona Norte,17,6.35
281,2023-06-12,13:15,Linha 303,148,Articulado,Zona Norte,Zona Oeste,86,10.0
282,2023-09-07,01:45,Linha 101,71,Articulado,Zona Sul,Zona Norte,77,9.35
283,2023-11-07,04:11,Linha 101,11,Micro-ônibus,Centro,Zona Sul,53,7.15
284,2023-05-08,00:59,Linha 505,64,Articulado,Zona Oeste,Zona Sul,11,6.35
285,2023-06-02,03:35,Linha 101,33,Ônibus convencional,Zona Sul,Zona Norte,84,9.7
286,2023-05-28,15:13,Linha 404,38,Ônibus convencional,Zona Leste,Centro,52,6.6
287,2023-06-28,00:33,Linha 404,125,Articulado,Zona Leste,Centro,63,8.05
288,2023-06-07,10:11,Linha 101,15,Micro-ônibus,Centro,Zona Sul,11,5.05
289,2023-11-25,19:15,Linha 101,69,Ônibus convencional,Zona Sul,Zona Norte,65,8.75
290,2023-03-13,22:28,Linha 404,67,Ônibus convencional,Zona Leste,Centro,11,4.95
291,2023-08-29,17:55,Linha 505,50,Micro-ônibus,Centro,Zona Oeste,63,8.15
292,2023-08-20,22:58,Linha 101,8,Micro-ônibus,Centro,Zona Sul,54,7.2
293,2023-01-21,19:26,Linha 303,48,Elétrico,Zona Norte,Zona Oeste,41,7.75
294,2023-04-30,06:42,Linha 202,16,Micro-ônibus,Centro,Zona Leste,12,5.3
295,2023-06-07,05:39,Linha 101,10,Micro-ônibus,Zona Sul,Zona Norte,47,7.85
